New York NY, 19617869, 40.7127753, -74.0059728
Los Angeles CA, 12872322, 34.0522342, -118.2436849
Chicago IL, 9441957, 41.8781136, -87.6297982
Dallas TX, 7943685, 32.7766642, -96.79698789999999
Houston TX, 7340118, 29.7604267, -95.3698028
Washington DC, 6373756, 38.9071923, -77.0368707
Philadelphia PA, 6241164, 39.9525839, -75.1652215
Atlanta GA, 6222106, 33.748752, -84.38768449999999
Miami FL, 6139340, 25.7616798, -80.1917902
Phoenix AZ, 5015678, 33.4483771, -112.0740373
Boston MA, 4900550, 42.3600825, -71.0588801
Riverside CA, 4667558, 33.9806005, -117.3754942
San Francisco CA, 4579599, 37.7749295, -122.4194155
Detroit MI, 4345761, 42.8105356, -83.0790865
Seattle WA, 4034248, 47.6062095, -122.3320708
Minneapolis MN, 3693729, 44.977753, -93.2650108
Tampa FL, 3290730, 27.950575, -82.4571776
San Diego CA / Tijuana, 5434061, 32.588138, -117.046960
Denver CO, 2985871, 39.7392358, -104.990251
Baltimore MD, 2835672, 39.2903848, -76.6121893
St. Louis MO, 2801319, 38.6270025, -90.19940419999999
Orlando FL, 2764182, 28.5383832, -81.3789269
Charlotte NC, 2756069, 35.2270869, -80.8431267
San Antonio TX, 2655342, 29.4251905, -98.4945922
Portland OR, 2509489, 45.515232, -122.6783853
Austin TX, 2421115, 30.267153, -97.7430608
Sacramento CA, 2416702, 38.5815719, -121.4943996
Pittsburgh PA, 2349172, 40.44062479999999, -79.9958864
Las Vegas NV, 2322985, 36.171563, -115.1391009
Cincinnati OH, 2265051, 39.1031182, -84.5120196
Kansas City MO, 2209494, 39.0997265, -94.5785667
Columbus OH, 2161511, 39.9611755, -82.99879419999999
Indianapolis IN, 2141779, 39.768403, -86.158068
Cleveland OH, 2063132, 41.49932, -81.6943605
Nashville TN, 2046828, 36.1626638, -86.7816016
San Jose CA, 1938524, 37.33874, -121.8852525
Virginia Beach VA, 1806840, 36.8516437, -75.97921939999999
Jacksonville FL, 1675668, 30.3321838, -81.65565099999999
Providence RI, 1673802, 41.8239891, -71.4128343
Milwaukee WI, 1559792, 43.0389025, -87.9064736
Raleigh NC, 1484338, 35.7795897, -78.6381787
Oklahoma City OK, 1459380, 35.4675602, -97.5164276
Richmond VA, 1339182, 37.5407246, -77.4360481
Memphis TN, 1332305, 35.1495343, -90.0489801
Louisville/Jefferson County KY, 1284553, 38.2526647, -85.7584557
Salt Lake City UT, 1266191, 40.7607793, -111.8910474
New Orleans LA, 1246176, 29.95106579999999, -90.0715323
Hartford CT, 1221725, 41.7658043, -72.6733723
Buffalo NY, 1161192, 42.88644679999999, -78.8783689
Birmingham AL, 1116857, 33.5185892, -86.8103567
Grand Rapids MI, 1094198, 42.9633599, -85.6680863
Rochester NY, 1081152, 43.15657789999999, -77.6088465
Tucson AZ, 1057597, 32.2539787, -110.9741769
Tulsa OK, 1034123, 36.1539816, -95.99277500000001
Fresno CA, 1015190, 36.7377981, -119.7871247
Worcester MA, 980137, 42.2625932, -71.8022934
Omaha NE, 976671, 41.2565369, -95.9345034
Bridgeport CT, 962946, 41.1792258, -73.1894384
Greenville SC, 958958, 34.85261759999999, -82.3940104
Albuquerque NM, 919543, 35.0843859, -106.650422
Bakersfield CA, 916108, 35.3732921, -119.0187125
Knoxville TN, 907968, 35.9606384, -83.9207392
Albany NY, 904617, 42.6525793, -73.7562317
North Port FL, 891411, 27.044224, -82.2359254
McAllen TX / Reynosa, 1725618, 26.119036, -98.267430
Baton Rouge LA, 873060, 30.4514677, -91.18714659999999
Juarez / El Paso TX, 2384645, 31.7618778, -106.4850217
Allentown PA, 871229, 40.6022939, -75.4714098
New Haven CT, 869527, 41.308274, -72.9278835
Columbia SC, 847686, 34.0007104, -81.0348144
Oxnard CA, 832605, 34.1975048, -119.1770516
Charleston SC, 830529, 32.7764749, -79.93105120000001
Cape Coral FL, 822453, 26.5628537, -81.9495331
Dayton OH, 812595, 39.7589478, -84.1916069
Boise City ID, 811336, 43.6150186, -116.2023137
Stockton CA, 793229, 37.9577016, -121.2907796
Lakeland FL, 787404, 28.0394654, -81.9498042
Greensboro NC, 784101, 36.0726354, -79.7919754
Colorado Springs CO, 765424, 38.8338816, -104.8213634
Little Rock AR, 757615, 34.7444618, -92.2880157
Des Moines IA, 729053, 41.5868353, -93.6249593
Provo UT, 715001, 40.2338438, -111.6585337
Ogden UT, 713839, 41.223, -111.9738304
Deltona FL, 705897, 28.9005446, -81.26367379999999
Kiryas Joel NY, 703486, 41.3420381, -74.167924
Akron OH, 697627, 41.0814447, -81.51900529999999
Springfield MA, 694523, 42.1014831, -72.589811
Winston NC, 688471, 36.1039642, -80.254435
Madison WI, 687077, 43.0721661, -89.4007501
Durham NC, 664310, 35.9940329, -78.898619
Syracuse NY, 653633, 43.0481221, -76.14742439999999
Wichita KS, 650039, 37.68717609999999, -97.33005299999999
Toledo OH, 640384, 41.6528052, -83.5378674
Palm Bay FL, 630693, 28.0344621, -80.5886646
Augusta GA, 624083, 33.4734978, -82.0105148
Harrisburg PA, 603493, 40.2731911, -76.8867008
Spokane WA, 597919, 47.6579711, -117.4235319
Jackson MS, 583197, 32.2987573, -90.1848103
Fayetteville AR, 576403, 36.0626579, -94.16058389999999
